business_name,business_type_id,status,opened_at,closed_at,address_clean,latitude,longitude,geocode_status
광교커피1,CAFE,CLOSED,2021-01-10,2022-04-15,경기도 수원시 영통구 광교중앙로 100,37.29120,127.04710,SUCCESS
광교커피2,CAFE,CLOSED,2022-05-01,2023-05-09,경기도 수원시 영통구 광교중앙로 100,37.29122,127.04712,SUCCESS
광교커피3,CAFE,CLOSED,2023-06-15,2024-03-20,경기도 수원시 영통구 광교중앙로 102,37.29127,127.04718,SUCCESS
광교디저트,CAFE,CLOSED,2020-11-01,2022-12-20,경기도 수원시 영통구 광교중앙로 104,37.29135,127.04705,SUCCESS
권선카페1,CAFE,CLOSED,2021-02-01,2023-12-01,경기도 수원시 권선구 권선로 10,37.25730,127.02970,SUCCESS
권선카페2,CAFE,CLOSED,2020-02-01,2024-02-01,경기도 수원시 권선구 권선로 14,37.25785,127.02980,SUCCESS
분당카페1,CAFE,CLOSED,2022-01-01,2022-09-01,경기도 성남시 분당구 정자일로 10,37.35960,127.10540,SUCCESS
분당카페2,CAFE,CLOSED,2022-10-01,2023-08-01,경기도 성남시 분당구 정자일로 12,37.35975,127.10545,SUCCESS
분당카페3,CAFE,CLOSED,2023-09-01,2024-02-01,경기도 성남시 분당구 정자일로 14,37.35985,127.10550,SUCCESS
분식A,BUNSIK,CLOSED,2022-01-01,2023-02-01,경기도 수원시 영통구 대학로 10,37.28900,127.04500,SUCCESS
